"Four Character ID","Site Name","Organisation","Reg 13/Auspos Certificate","Marker Number","Site Photo","Status","Last Updated","State","Country","Receiver Type","Receiver Serial","Receiver Firmware","Satellite Systems","Antenna Type","Antenna Serial","Marker Up to ARP","GDA2020 X (m)","GDA2020 Y (m)","GDA2020 Z (m)","GDA2020 Latitude(DD)","GDA2020 Longitude(DD)","GDA2020 Ellipsoid Height (m)","GDA2020 Projection","GDA2020 Easting (m)","GDA2020 Northing (m)","GDA2020 Geoid","AHD GDA2020 Derived (m)","GDA94 X (m)","GDA94 Y (m)","GDA94 Z (m)","GDA94 Latitude(DD)","GDA94 Longitude(DD)","GDA94 Ellipsoid Height (m)","GDA94 Projection","GDA94 Easting (m)","GDA94 Northing (m)","GDA94 Geoid","AHD GDA94 Derived (m)"
"KELN","Kellerberrin","Geoscience Australia","https://metadata.alldayrtk.com.au/reg13/KELN.pdf","50197M001","","online","2025-08-07T07:01:45.923369+00:00","WA","Australia","SEPT POLARX5","3062164","5.5.0","GPS+GLO+GAL+BDS+QZSS+IRNSS","JAVRINGANT_DM   SCIS","01580","0.005","-2527265.3590","4813192.3530","-3324975.6920","-31.62231407","117.70263969","253.036","50","566639.442","6501212.448","AusGeoid2020","279.275","-2527264.1500","4813192.1780","-3324977.0070","-31.62232756","117.70262927","253.116","50","566638.444","6501210.959","AusGeoid09","279.291"
"8WAR","Warradarge","Aptella Pty Ltd","https://metadata.alldayrtk.com.au/auspos/8WAR.pdf","","https://metadata.alldayrtk.com.au/photos/8WAR.jpg","online","2025-08-07T07:01:45.923369+00:00","WA","Australia","TPS MR-2","1392-11875","5.4+2105281211","GPS+GLO+GAL+BDS+QZSS+SBAS","TPSPG_F1        NONE","568-20121","0.000","-2366745.5640","4986473.2340","-3185779.4010","-30.15922307","115.39056670","263.103","50","345012.112","6662477.413","AusGeoid2020","292.927","-2366744.3480","4986473.0620","-3185780.7230","-30.15923644","115.39055607","263.182","50","345011.109","6662475.916","AusGeoid09","292.945"
"BURA","Burakin","Geoscience Australia","https://metadata.alldayrtk.com.au/reg13/BURA.pdf","50193M001","","online","2025-08-07T07:01:45.923369+00:00","WA","Australia","SEPT POLARX5","3016195","5.5.0","GPS+GLO+GAL+BDS+QZSS+IRNSS","JAVRINGANT_DM   SCIS","01577","0.004","-2511499.0830","4892172.2060","-3220858.0220","-30.52551532","117.17464681","327.891","50","516754.837","6622967.988","AusGeoid2020","352.179","-2511497.8790","4892172.0500","-3220859.3490","-30.52552879","117.17463639","327.971","50","516753.835","6622966.497","AusGeoid09","352.198"
"HYDN","Hyden","Geoscience Australia","https://metadata.alldayrtk.com.au/reg13/HYDN.pdf","50195M001","","online","2025-08-07T07:01:45.923369+00:00","WA","Australia","SEPT POLARX5","3078724","5.5.0","GPS+GLO+GAL+BDS+QZSS","JAVRINGANT_DM   SCIS","00856","0.005","-2603131.0810","4717143.4730","-3402748.0610","-32.44937593","118.89188144","300.051","50","677835.078","6408176.922","AusGeoid2020","326.401","-2603129.8760","4717143.2950","-3402749.3710","-32.44938946","118.89187114","300.131","50","677834.083","6408175.439","AusGeoid09","326.408"
"NCLF","Northcliffe","Geoscience Australia","https://metadata.alldayrtk.com.au/reg13/NCLF.pdf","59916M001","","online","2025-08-07T07:01:45.923369+00:00","WA","Australia","TRIMBLE ALLOY","6140R40126","6.15","GPS+GLO+GAL+BDS+QZSS","JAVRINGANT_DM   SCIS","00919","0.005","-2311144.1420","4712785.4100","-3611358.5930","-34.70837170","116.12327504","71.164","50","419713.482","6158946.851","AusGeoid2020","103.136","-2311142.9020","4712785.1450","-3611359.8580","-34.70838510","116.12326416","71.240","50","419712.499","6158945.357","AusGeoid09","103.163"
"RAVN","Ravensthorpe","Geoscience Australia","https://metadata.alldayrtk.com.au/reg13/RAVN.pdf","59967M001","","online","2025-08-07T07:01:45.923369+00:00","WA","Australia","TRIMBLE ALLOY","6043R40148","6.15","GPS+GLO+GAL+BDS+QZSS","JAVRINGANT_DM   SCIS","01578","0.001","-2664852.2490","4602498.8350","-3509390.6860","-33.59674114","120.07089188","205.714","51","228185.472","6278708.484","AusGeoid2020","234.973","-2664851.0460","4602498.6450","-3509391.9850","-33.59675472","120.07088169","205.794","51","228184.569","6278706.951","AusGeoid09","234.974"
"WAGN","Wagin","Geoscience Australia","https://metadata.alldayrtk.com.au/reg13/WAGN.pdf","59966M001","","online","2025-08-07T07:01:45.923369+00:00","WA","Australia","TRIMBLE ALLOY","6140R40125","6.15","GPS+GLO+GAL+BDS+QZSS","LEIAR25.R3      LEIT","09330050","0.004","-2455774.3572","4735625.3762","-3485038.1891","-33.33305915","117.41010129","288.930","50","538165.499","6311714.043","AusGeoid2020","315.787","-2455773.1352","4735625.1588","-3485039.4801","-33.33307262","117.41009071","289.008","50","538164.509","6311712.554","AusGeoid09","315.818"
"YAR2","Yarragadee","Geoscience Australia","https://metadata.alldayrtk.com.au/reg13/YAR2.pdf","50107M004","","online","2025-08-07T07:01:45.923369+00:00","WA","Australia","TRIMBLE ALLOY","5940R40019","6.15","GPS+GLO+GAL+BDS+QZSS+IRNSS","AOAD/M_T        NONE","371","0.081","-2389026.6087","5043317.0544","-3078529.5529","-29.04654685","115.34698274","241.270","50","339056.527","6785729.963","AusGeoid2020","266.506","-2389025.4014","5043316.9072","-3078530.8881","-29.04656023","115.34697218","241.350","50","339055.520","6785728.466","AusGeoid09","266.519"
"8HWD","Holmwood","Aptella Pty Ltd","","","","online","2025-08-07T07:01:45.923369+00:00","WA","Australia","TPS MR-2","1392-11853","5.4+2105281211","GPS+GLO+GAL+BDS+QZSS","TPSPG_F1        NONE","568-20122","0.000","-2407156.8760","5035197.7000","-3077675.8230","-29.03780195","115.55087821","228.260","50","358899.007","6786960.018","AusGeoid2020","252.592","-2407155.6710","5035197.5560","-3077677.1600","-29.03781534","115.55086768","228.340","50","358898.000","6786958.522","AusGeoid09","252.567"
"8RBK","Ryansbrook","Aptella Pty Ltd","https://metadata.alldayrtk.com.au/auspos/8RBK.pdf","","","online","2025-08-07T07:01:45.923369+00:00","WA","Australia","TPS MR-2","1392-11882","5.4+2105281211","GPS+GLO+GAL+BDS+QZSS","TPSPG_F1        NONE","568-20212","0.000","-2409486.9250","4702574.3590","-3560703.7850","-34.15361774","117.12951918","255.297","50","511939.245","6220803.402","AusGeoid2020","283.538","-2409485.6950","4702574.1190","-3560705.0620","-34.15363119","117.12950850","255.375","50","511938.259","6220801.912","AusGeoid09","283.554"
